"Factor","Tolerance","N","Total Errors","Error Ratio","Total Misses","Miss Ratio","Mean Error of Errors (ms)","Mean Error Overall (ms)","Max Error (ms)","ThrashingCount"
"Speed",16,800,399,0.49875,0,0,10.1922955864335,5.68858049959329,33.3275510337359,0
"Speed",32,1589,773,0.486469477658905,0,0,9.78418890959349,5.57642939647558,33.3738934526383,11
"Speed",48,2233,1007,0.450962830273175,25,0.0111957008508733,8.43205598427344,4.58183051866925,24.9905450538581,167
"Latency",0.002,1880,263,0.139893617021277,0,0,4.53209844427889,0.658793163648859,16.8835991681202
"Latency",0.008,1377,2,0.00145243282498184,0,0,0.00738647237670141,0.00017635029934205,0.163099440728533,121
"Latency",0.016,574,70,0.121951219512195,0,0,2.60290716246503,0.592035895390637,17.1067905518667,226
"Frame-Time",0.00833,400,38,0.095,0,0,3.61482931191914,0.399034585125875,16.6461225117546,0
"Frame-Time",0.015,750,436,0.581333333333333,0,0,12.8486748299131,8.0246819017767,49.9070672476212,0
"Frame-Time",0.03333,106,2,0.0188679245283019,0,0,0.524346679351512,0.0749066684787874,8.42160086848851,693
